"Index","Title","SourceUrl","PdfUrl","FilePath","Status","Error"
"1","BEIR Benchmark (arXiv 2104.08663)","https://arxiv.org/abs/2104.08663","https://arxiv.org/pdf/2104.08663.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\01_BEIR_Benchmark.pdf","downloaded",""
"2","ColBERTv2 (arXiv 2112.01488)","https://arxiv.org/abs/2112.01488","https://arxiv.org/pdf/2112.01488.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\02_ColBERTv2.pdf","downloaded",""
"3","Lost in the Middle (arXiv 2307.03172)","https://arxiv.org/abs/2307.03172","https://arxiv.org/pdf/2307.03172.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\03_Lost_in_the_Middle.pdf","downloaded",""
"4","Self-RAG (arXiv 2310.11511)","https://arxiv.org/abs/2310.11511","https://arxiv.org/pdf/2310.11511.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\04_Self-RAG.pdf","downloaded",""
"5","Corrective RAG (arXiv 2401.15884)","https://arxiv.org/abs/2401.15884","https://arxiv.org/pdf/2401.15884.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\05_Corrective_RAG.pdf","downloaded",""
"6","RAPTOR (arXiv 2401.18059)","https://arxiv.org/abs/2401.18059","https://arxiv.org/pdf/2401.18059.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\06_RAPTOR.pdf","downloaded",""
"7","BGE-M3 Technical Report (arXiv 2402.03216)","https://arxiv.org/abs/2402.03216","https://arxiv.org/pdf/2402.03216.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\07_BGE-M3_Technical_Report.pdf","downloaded",""
"8","From Local to Global GraphRAG (arXiv 2404.16130)","https://arxiv.org/abs/2404.16130","https://arxiv.org/pdf/2404.16130.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\08_From_Local_to_Global_GraphRAG.pdf","downloaded",""
"9","LongRAG (arXiv 2406.15319)","https://arxiv.org/abs/2406.15319","https://arxiv.org/pdf/2406.15319.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\09_LongRAG.pdf","downloaded",""
"10","RAGBench (arXiv 2407.11005)","https://arxiv.org/abs/2407.11005","https://arxiv.org/pdf/2407.11005.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\10_RAGBench.pdf","downloaded",""
"11","FRAMES: Fact, Fetch, and Reason (arXiv 2409.12941)","https://arxiv.org/abs/2409.12941","https://arxiv.org/pdf/2409.12941.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\11_FRAMES_Fact_Fetch_and_Reason.pdf","downloaded",""
"12","HtmlRAG (arXiv 2411.02959)","https://arxiv.org/abs/2411.02959","https://arxiv.org/pdf/2411.02959.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\12_HtmlRAG.pdf","downloaded",""
"13","CAG: Don't Do RAG (arXiv 2412.15605)","https://arxiv.org/abs/2412.15605","https://arxiv.org/pdf/2412.15605.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\13_CAG_Dont_Do_RAG.pdf","downloaded",""
"14","UniversalRAG (arXiv 2504.20734)","https://arxiv.org/abs/2504.20734","https://arxiv.org/pdf/2504.20734.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\14_UniversalRAG.pdf","downloaded",""
"15","Comprehensive RAG Survey (arXiv 2506.00054)","https://arxiv.org/abs/2506.00054","https://arxiv.org/pdf/2506.00054.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\15_Comprehensive_RAG_Survey.pdf","downloaded",""
"16","Vision-Guided Chunking (arXiv 2506.16035)","https://arxiv.org/abs/2506.16035","https://arxiv.org/pdf/2506.16035.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\16_Vision-Guided_Chunking.pdf","downloaded",""
"17","SitEmb-v1.5 (arXiv 2508.01959)","https://arxiv.org/abs/2508.01959","https://arxiv.org/pdf/2508.01959.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\17_SitEmb-v1.5.pdf","downloaded",""
"18","RAG-Anything (arXiv 2510.12323)","https://arxiv.org/abs/2510.12323","https://arxiv.org/pdf/2510.12323.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\18_RAG-Anything.pdf","downloaded",""
"19","RAGBoost (arXiv 2511.03475)","https://arxiv.org/abs/2511.03475","https://arxiv.org/pdf/2511.03475v1.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\19_RAGBoost.pdf","downloaded",""
"20","DeR2 / Retrieval-Infused Reasoning Sandbox (arXiv 2601.21937)","https://arxiv.org/abs/2601.21937","https://arxiv.org/pdf/2601.21937.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\20_DeR2_Retrieval-Infused_Reasoning_Sandbox.pdf","downloaded",""
"21","C²-Cite (arXiv 2602.00004 PDF)","https://www.arxiv.org/pdf/2602.00004","https://arxiv.org/pdf/2602.00004.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\21_C-Cite.pdf","downloaded",""
"22","RAGRouter-Bench (arXiv 2602.00296 PDF)","https://arxiv.org/pdf/2602.00296","https://arxiv.org/pdf/2602.00296.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\22_RAGRouter-Bench.pdf","downloaded",""
"23","CatRAG (arXiv 2602.01965)","https://arxiv.org/abs/2602.01965","https://arxiv.org/pdf/2602.01965.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\23_CatRAG.pdf","downloaded",""
"24","WildGraphBench (arXiv 2602.02053)","https://arxiv.org/abs/2602.02053","https://arxiv.org/pdf/2602.02053.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\24_WildGraphBench.pdf","downloaded",""
"25","Col-Bandit (arXiv 2602.02827 PDF)","https://arxiv.org/pdf/2602.02827","https://arxiv.org/pdf/2602.02827.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\25_Col-Bandit.pdf","downloaded",""
"26","A-RAG (arXiv 2602.03442)","https://arxiv.org/abs/2602.03442","https://arxiv.org/pdf/2602.03442.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\26_A-RAG.pdf","downloaded",""
"27","SAGE (arXiv 2602.05975)","https://arxiv.org/abs/2602.05975","https://arxiv.org/pdf/2602.05975.pdf","D:\OneDrive\Desktop\Findings\research_pdfs\27_SAGE.pdf","downloaded",""
